Abbey 9.29.21,Myers FFRR 9.29.21,FFRR,Chow,9.29.21,,,,,,,
,TSE PhenoMaster V7.7.9 (2021-5214),,,,,,,,,,
Box,Animal No.,Weight [g],Text1,Text2,Text3,,,,,,
1,176,29.9,M,G+FFRR, ,,,,,,
2,177,23.9,M,++FFR, ,,,,,,
3,178,33.5,M,G+FFRR, ,,,,,,
4,179,30.7,M,G+FFRR, ,,,,,,
5,180,19.5,F,++FFR, ,,,,,,
6,181,26.1,F,G+FFRR, ,,,,,,
7,401,29.4,M,G+FFR, ,,,,,,
8,402,29.2,M,G+FFR, ,,,,,,
9,403,30.3,M,G+FFR, ,,,,,,
10,404,20.7,M,++FFR, ,,,,,,
11,405,23.9,M,G+FFR br, ,,,,,,
12,697,22.9,M,++FFR, ,,,,,,
13,698,24.1,M,++FFR, ,,,,,,
14,699,27.7,M,G+FFRR, ,,,,,,
15,700,20.1,M,++FFR, ,,,,,,
16,701,26.6,F,G+FFRR, ,,,,,,
17,702,18.5,F,G+FFRR, ,,,,,,
18,705,17.5,F,++FFR, ,,,,,,
19,706,15.8,F,++FFR, ,,,,,,
,,,,,,,,,,,
Date Time,Animal No.,Box,VO2(3),VCO2(3),RER,H(3),XT+YT,XA,YA,Drink,Feed1
,,,[ml/h],[ml/h],,[kcal/h],[Cnt],[Cnt],[Cnt],[ml],[g]
10/5/2021 6:49,699,14,62,59,0.946,0.309,447,0,0,39.37,62.38
10/5/2021 7:04,699,14,61,58,0.954,0.305,451,0,0,39.37,62.38
10/5/2021 7:19,699,14,68,61,0.897,0.334,436,0,0,39.37,62.38
10/5/2021 7:34,699,14,61,57,0.942,0.304,445,0,0,39.37,62.38
10/5/2021 7:49,699,14,67,62,0.925,0.331,447,0,0,39.37,62.38
10/5/2021 8:04,699,14,62,58,0.927,0.31,444,0,0,39.37,62.38
10/5/2021 8:19,699,14,63,56,0.88,0.312,375,0,0,39.37,62.38
10/5/2021 8:34,699,14,60,53,0.887,0.296,446,0,0,39.38,62.38
10/5/2021 8:49,699,14,64,57,0.891,0.314,449,0,0,39.38,62.38
10/5/2021 9:04,699,14,68,60,0.876,0.334,372,0,0,39.38,62.38
10/5/2021 9:19,699,14,61,53,0.871,0.298,356,0,0,39.38,62.38
10/5/2021 9:34,699,14,63,53,0.841,0.306,372,0,0,39.38,62.38
10/5/2021 9:49,699,14,76,66,0.872,0.374,854,413,83,39.45,62.38
10/5/2021 10:04,699,14,77,67,0.87,0.376,829,264,63,39.45,62.38
10/5/2021 10:19,699,14,77,69,0.895,0.382,450,0,0,39.45,62.38
10/5/2021 10:34,699,14,70,60,0.865,0.342,448,0,0,39.45,62.38
10/5/2021 10:49,699,14,65,58,0.897,0.319,451,2,0,39.45,62.38
10/5/2021 11:04,699,14,63,54,0.854,0.308,521,85,21,39.45,62.38
10/5/2021 11:19,699,14,70,60,0.855,0.342,50,0,0,39.46,62.38
10/5/2021 11:34,699,14,62,55,0.882,0.306,87,0,0,39.46,62.38
10/5/2021 11:49,699,14,62,54,0.88,0.303,237,0,0,39.46,62.38
10/5/2021 12:04,699,14,62,53,0.85,0.303,333,0,0,39.46,62.38
10/5/2021 12:19,699,14,62,52,0.839,0.301,140,0,0,39.46,62.38
10/5/2021 12:34,699,14,66,55,0.839,0.32,0,0,0,39.46,62.38
10/5/2021 12:49,699,14,72,60,0.833,0.349,0,0,0,39.46,62.38
10/5/2021 13:04,699,14,64,54,0.848,0.311,0,0,0,39.46,62.38
10/5/2021 13:19,699,14,64,54,0.834,0.313,1,1,0,39.46,62.38
10/5/2021 13:34,699,14,73,60,0.824,0.356,94,52,3,39.46,62.38
10/5/2021 13:49,699,14,61,50,0.832,0.295,0,0,0,39.46,62.38
10/5/2021 14:04,699,14,58,49,0.855,0.282,0,0,0,39.46,62.38
10/5/2021 14:19,699,14,57,50,0.871,0.281,0,0,0,39.46,62.38
10/5/2021 14:34,699,14,57,51,0.89,0.281,3,1,0,39.47,62.38
10/5/2021 14:49,699,14,58,50,0.859,0.285,0,0,0,39.47,62.38
10/5/2021 15:04,699,14,68,56,0.831,0.329,0,0,0,39.47,62.38
10/5/2021 15:19,699,14,58,50,0.859,0.283,28,15,6,39.47,62.38
10/5/2021 15:34,699,14,71,61,0.864,0.347,199,88,48,39.47,62.38
10/5/2021 15:49,699,14,60,56,0.934,0.298,0,0,0,39.47,62.38
10/5/2021 16:04,699,14,59,55,0.93,0.295,0,0,0,39.47,62.38
10/5/2021 16:19,699,14,59,56,0.95,0.293,0,0,0,39.47,62.38
10/5/2021 16:34,699,14,67,61,0.914,0.332,0,0,0,39.47,62.38
10/5/2021 16:49,699,14,73,65,0.897,0.359,279,108,60,39.61,62.38
10/5/2021 17:04,699,14,67,60,0.899,0.329,0,0,0,39.61,62.38
10/5/2021 17:19,699,14,62,58,0.935,0.306,0,0,0,39.61,62.38
10/5/2021 17:34,699,14,71,67,0.943,0.353,0,0,0,39.61,62.38
10/5/2021 17:49,699,14,75,68,0.912,0.371,327,108,68,39.61,62.38
10/5/2021 18:04,699,14,71,62,0.879,0.349,455,258,80,39.61,62.38
10/5/2021 18:19,699,14,88,85,0.964,0.44,2312,1173,411,39.78,62.45
10/5/2021 18:34,699,14,110,104,0.948,0.547,1691,801,352,40.06,62.59
10/5/2021 18:49,699,14,101,98,0.977,0.506,1572,569,396,40.41,63.91
10/5/2021 19:04,699,14,103,99,0.957,0.516,1073,579,110,40.68,64.14
10/5/2021 19:19,699,14,106,105,0.998,0.532,421,120,28,40.81,64.81
10/5/2021 19:34,699,14,91,91,0.992,0.46,335,0,0,40.81,64.81
10/5/2021 19:49,699,14,73,74,1.016,0.37,327,5,0,40.81,64.81
10/5/2021 20:04,699,14,78,80,1.03,0.397,851,272,136,40.86,64.81
10/5/2021 20:19,699,14,93,99,1.057,0.477,1287,535,246,41.24,64.81
10/5/2021 20:34,699,14,100,107,1.062,0.514,1670,650,459,41.28,67.88
10/5/2021 20:49,699,14,100,104,1.037,0.511,1590,825,277,41.36,68.05
10/5/2021 21:04,699,14,97,101,1.043,0.493,255,103,29,41.45,68.05
10/5/2021 21:19,699,14,85,87,1.026,0.43,1,0,0,41.45,68.05
10/5/2021 21:34,699,14,77,80,1.04,0.394,0,0,0,41.45,68.05
10/5/2021 21:49,699,14,80,83,1.037,0.409,1166,509,281,41.49,68.1
10/5/2021 22:04,699,14,102,106,1.034,0.52,612,247,127,41.77,68.43
10/5/2021 22:19,699,14,111,104,0.937,0.551,853,221,261,42.04,68.93
10/5/2021 22:34,699,14,101,105,1.036,0.515,285,97,85,42.06,69.89
10/5/2021 22:49,699,14,89,91,1.028,0.45,99,23,36,42.14,69.89
10/5/2021 23:04,699,14,85,88,1.032,0.434,9,0,0,42.15,69.89
10/5/2021 23:19,699,14,101,106,1.048,0.514,613,182,187,42.3,70.54
10/5/2021 23:34,699,14,105,107,1.024,0.531,1376,442,420,42.52,71.11
10/5/2021 23:49,699,14,111,116,1.044,0.566,2067,1018,446,42.69,71.79
10/6/2021 0:04,699,14,110,113,1.028,0.56,1397,625,255,42.93,72.08
10/6/2021 0:19,699,14,111,118,1.064,0.567,1354,642,296,43.04,72.38
10/6/2021 0:34,699,14,113,117,1.035,0.577,1283,630,230,43.28,72.75
10/6/2021 0:49,699,14,117,122,1.046,0.596,2132,910,555,43.44,72.77
10/6/2021 1:04,699,14,110,115,1.041,0.56,1169,559,215,43.52,73.12
10/6/2021 1:19,699,14,109,112,1.033,0.552,2035,781,639,43.82,73.26
10/6/2021 1:34,699,14,108,112,1.041,0.547,1142,386,342,43.96,73.88
10/6/2021 1:49,699,14,103,108,1.04,0.526,1051,423,260,43.99,75.5
10/6/2021 2:04,699,14,101,105,1.034,0.515,1244,456,315,44.12,76.47
10/6/2021 2:19,699,14,97,101,1.036,0.496,1562,635,398,44.3,76.59
10/6/2021 2:34,699,14,99,106,1.07,0.509,1707,666,520,44.35,76.59
10/6/2021 2:49,699,14,91,95,1.035,0.465,23,13,0,44.35,76.59
10/6/2021 3:04,699,14,86,87,1.022,0.434,1,0,0,44.35,76.59
10/6/2021 3:19,699,14,78,80,1.035,0.395,239,58,91,44.35,76.59
10/6/2021 3:34,699,14,91,91,1.001,0.459,1469,585,417,44.58,76.6
10/6/2021 3:49,699,14,91,92,1.007,0.462,1943,1122,374,44.67,76.6
10/6/2021 4:04,699,14,92,93,1.011,0.466,689,217,233,44.67,76.6
10/6/2021 4:19,699,14,88,89,1.021,0.444,106,0,1,44.67,76.6
10/6/2021 4:34,699,14,79,81,1.02,0.402,0,0,0,44.68,76.6
10/6/2021 4:49,699,14,73,75,1.016,0.371,133,26,78,44.68,76.6
10/6/2021 5:04,699,14,81,81,1.004,0.407,1044,271,436,44.83,76.6
10/6/2021 5:19,699,14,81,83,1.026,0.411,24,7,4,44.83,76.6
10/6/2021 5:34,699,14,69,70,1.016,0.35,0,0,0,44.83,76.6
10/6/2021 5:49,699,14,67,68,1.011,0.338,0,0,0,44.83,76.6
10/6/2021 6:04,699,14,68,64,0.94,0.34,0,0,0,44.83,76.6
10/6/2021 6:19,699,14,66,63,0.947,0.331,0,0,0,44.83,76.6
10/6/2021 6:34,699,14,67,62,0.925,0.335,0,0,0,44.84,76.6
10/6/2021 6:49,699,14,65,61,0.936,0.325,0,0,0,44.84,76.6
10/6/2021 7:04,699,14,60,57,0.958,0.3,0,0,0,44.84,76.6
10/6/2021 7:19,699,14,62,57,0.924,0.306,0,0,0,44.84,76.6
10/6/2021 7:34,699,14,55,55,1,0.279,0,0,0,44.84,76.6
10/6/2021 7:49,699,14,69,67,0.967,0.347,405,194,77,44.98,76.6
10/6/2021 8:04,699,14,66,64,0.968,0.331,0,0,0,44.99,76.6
10/6/2021 8:19,699,14,65,62,0.954,0.325,0,0,0,44.99,76.6
10/6/2021 8:34,699,14,66,62,0.933,0.329,0,0,0,44.99,76.6
10/6/2021 8:49,699,14,67,59,0.879,0.332,0,0,0,44.99,76.6
10/6/2021 9:04,699,14,67,57,0.855,0.328,0,0,0,44.99,76.6
10/6/2021 9:19,699,14,63,57,0.912,0.311,0,0,0,44.99,76.6
10/6/2021 9:34,699,14,70,62,0.889,0.345,0,0,0,44.99,76.6
10/6/2021 9:49,699,14,65,57,0.882,0.317,0,0,0,44.99,76.6
10/6/2021 10:04,699,14,65,55,0.856,0.316,0,0,0,44.99,76.6
10/6/2021 10:19,699,14,64,54,0.849,0.312,0,0,0,44.99,76.6
9/29/2021 14:19,700,15,46,38,0.816,0.225,5621,2650,1922,0.03,0.32
9/29/2021 14:34,700,15,56,44,0.778,0.27,3845,1893,1172,0.04,0.32
9/29/2021 14:49,700,15,57,47,0.819,0.278,2715,1132,888,0.05,0.32
9/29/2021 15:04,700,15,52,43,0.825,0.254,2159,994,593,0.09,0.32
9/29/2021 15:19,700,15,122,50,0.413,0.538,2534,1167,738,0.12,0.32
9/29/2021 15:34,700,15,48,42,0.891,0.234,1698,732,502,0.13,0.32
9/29/2021 15:49,700,15,49,44,0.906,0.24,1263,547,305,0.13,0.32
9/29/2021 16:04,700,15,39,33,0.846,0.19,72,24,7,0.13,0.32
9/29/2021 16:19,700,15,36,30,0.838,0.174,46,9,2,0.14,0.32
9/29/2021 16:34,700,15,47,37,0.787,0.227,1067,498,245,0.15,0.32
9/29/2021 16:49,700,15,49,41,0.829,0.24,2248,719,800,0.16,0.39
9/29/2021 17:04,700,15,48,44,0.925,0.237,2123,740,812,0.28,0.57
9/29/2021 17:19,700,15,53,49,0.923,0.261,1922,819,504,0.45,0.65
9/29/2021 17:34,700,15,38,34,0.901,0.189,782,708,0,0.46,0.65
9/29/2021 17:49,700,15,35,30,0.867,0.172,688,601,2,0.46,0.65
9/29/2021 18:04,700,15,33,29,0.878,0.162,1236,1111,2,0.47,0.65
9/29/2021 18:19,700,15,35,29,0.833,0.17,3172,3047,0,0.48,0.65
9/29/2021 18:34,700,15,32,26,0.815,0.156,808,653,57,0.48,0.65
9/29/2021 18:49,700,15,47,38,0.811,0.226,2549,1109,715,0.48,0.7
9/29/2021 19:04,700,15,48,45,0.925,0.24,2644,1057,919,0.53,0.75
9/29/2021 19:19,700,15,49,45,0.921,0.243,1884,516,785,0.66,0.83
9/29/2021 19:34,700,15,59,56,0.946,0.293,3422,1209,1439,0.66,0.9
9/29/2021 19:49,700,15,48,44,0.921,0.239,1927,763,579,0.82,0.97
9/29/2021 20:04,700,15,45,41,0.898,0.223,469,154,72,0.84,0.99
9/29/2021 20:19,700,15,39,34,0.888,0.19,248,95,17,0.84,0.99
9/29/2021 20:34,700,15,55,50,0.903,0.274,2458,971,873,0.84,1.09
9/29/2021 20:49,700,15,48,44,0.906,0.238,3769,1501,1505,0.9,1.13
9/29/2021 21:04,700,15,57,49,0.865,0.277,2012,572,814,1.03,1.19
9/29/2021 21:19,700,15,55,51,0.924,0.274,2714,756,1211,1.06,1.3
9/29/2021 21:34,700,15,56,50,0.903,0.276,2414,653,986,1.41,1.44
9/29/2021 21:49,700,15,55,52,0.937,0.274,2067,684,702,1.58,1.56
9/29/2021 22:04,700,15,53,49,0.919,0.265,2367,796,921,1.72,1.76
9/29/2021 22:19,700,15,51,49,0.955,0.256,2532,833,1092,1.83,1.83
9/29/2021 22:34,700,15,56,53,0.959,0.279,1537,437,537,2,2.01
9/29/2021 22:49,700,15,48,46,0.965,0.24,527,178,157,2.16,2.04
9/29/2021 23:04,700,15,40,38,0.95,0.199,124,24,16,2.16,2.04
9/29/2021 23:19,700,15,36,34,0.931,0.18,51,7,3,2.17,2.04
9/29/2021 23:34,700,15,55,49,0.903,0.27,1969,646,760,2.18,2.05
9/29/2021 23:49,700,15,52,48,0.927,0.257,2142,657,910,2.27,2.17
9/30/2021 0:04,700,15,54,53,0.995,0.27,1703,340,855,2.43,2.41
9/30/2021 0:19,700,15,53,53,0.991,0.268,2186,611,875,2.81,2.73
9/30/2021 0:34,700,15,55,51,0.928,0.272,3266,1080,1511,3.14,3.04
9/30/2021 0:49,700,15,55,52,0.95,0.276,2862,1013,1103,3.4,3.38
9/30/2021 1:04,700,15,50,48,0.965,0.248,4297,1864,1519,3.51,3.38
9/30/2021 1:19,700,15,55,51,0.929,0.274,2777,1310,840,3.57,3.38
9/30/2021 1:34,700,15,45,44,0.982,0.226,2673,1139,913,3.6,3.38
9/30/2021 1:49,700,15,43,40,0.939,0.212,3,1,0,3.61,3.38
9/30/2021 2:04,700,15,34,31,0.922,0.167,37,10,5,3.61,3.44
9/30/2021 2:19,700,15,36,32,0.91,0.176,38,6,4,3.62,3.47
9/30/2021 2:34,700,15,30,31,1.013,0.154,16,3,1,3.62,3.47
9/30/2021 2:49,700,15,31,29,0.943,0.154,22,8,0,3.62,3.47
9/30/2021 3:04,700,15,31,28,0.912,0.154,91,10,5,3.62,3.47
9/30/2021 3:19,700,15,45,45,1.004,0.226,2656,975,949,3.63,3.51
9/30/2021 3:34,700,15,49,48,0.984,0.247,2296,824,803,3.96,4.05
9/30/2021 3:49,700,15,52,51,0.973,0.262,582,220,118,4.07,4.46
9/30/2021 4:04,700,15,45,42,0.934,0.221,171,80,2,4.07,4.46
9/30/2021 4:19,700,15,33,31,0.958,0.163,93,18,9,4.07,4.46
9/30/2021 4:34,700,15,43,39,0.928,0.211,846,369,241,4.07,4.65
9/30/2021 4:49,700,15,44,41,0.929,0.219,2604,1143,847,4.24,4.65
9/30/2021 5:04,700,15,58,57,0.975,0.293,1247,396,418,4.42,4.88
9/30/2021 5:19,700,15,49,47,0.95,0.247,844,237,263,4.6,5.21
9/30/2021 5:34,700,15,38,35,0.925,0.187,36,12,2,4.61,5.22
9/30/2021 5:49,700,15,35,34,0.95,0.177,235,102,32,4.61,5.22
9/30/2021 6:04,700,15,45,43,0.95,0.226,2054,725,770,4.71,5.25
9/30/2021 6:19,700,15,50,47,0.95,0.248,1169,410,356,4.82,5.36
9/30/2021 6:34,700,15,55,54,0.985,0.274,1778,727,507,4.93,5.49
9/30/2021 6:49,700,15,54,52,0.955,0.27,2736,1312,710,5.06,5.64
9/30/2021 7:04,700,15,51,46,0.907,0.25,1421,661,334,5.07,5.64
9/30/2021 7:19,700,15,36,32,0.903,0.176,6,2,0,5.08,5.64
9/30/2021 7:34,700,15,31,30,0.95,0.156,26,9,1,5.08,5.64
9/30/2021 7:49,700,15,31,29,0.927,0.153,27,10,1,5.08,5.64
9/30/2021 8:04,700,15,31,29,0.935,0.155,29,9,1,5.08,5.64
9/30/2021 8:19,700,15,38,34,0.888,0.187,367,132,68,5.08,5.64
9/30/2021 8:34,700,15,45,39,0.875,0.22,2146,931,641,5.09,5.64
9/30/2021 8:49,700,15,43,38,0.889,0.21,2412,993,766,5.34,5.67
9/30/2021 9:04,700,15,46,43,0.935,0.229,1060,452,229,5.34,5.74
9/30/2021 9:19,700,15,50,46,0.931,0.246,3409,1424,1122,5.55,6.36
9/30/2021 9:34,700,15,45,43,0.95,0.225,1066,499,279,5.66,6.36
9/30/2021 9:49,700,15,42,39,0.922,0.21,1,0,0,5.66,6.36
9/30/2021 10:04,700,15,30,28,0.958,0.148,489,212,132,5.66,6.36
9/30/2021 10:19,700,15,36,33,0.937,0.178,646,298,186,5.66,6.36
9/30/2021 10:34,700,15,41,37,0.904,0.203,426,166,56,5.67,6.36
9/30/2021 10:49,700,15,35,31,0.883,0.171,201,0,1,5.67,6.36
9/30/2021 11:04,700,15,32,28,0.882,0.156,66,10,1,5.68,6.36
9/30/2021 11:19,700,15,31,28,0.912,0.154,44,16,2,5.68,6.36
9/30/2021 11:34,700,15,31,28,0.904,0.153,16,2,0,5.68,6.36
9/30/2021 11:49,700,15,36,30,0.838,0.175,257,65,33,5.68,6.36
9/30/2021 12:04,700,15,43,40,0.933,0.212,2051,885,722,5.85,6.36
9/30/2021 12:19,700,15,45,45,1.004,0.225,1357,731,258,6,6.36
9/30/2021 12:34,700,15,49,49,0.994,0.247,1257,756,170,6.14,6.37
9/30/2021 12:49,700,15,45,42,0.934,0.225,0,0,0,6.14,6.52
9/30/2021 13:04,700,15,31,30,0.989,0.154,182,0,0,6.14,6.52
9/30/2021 13:19,700,15,32,32,0.987,0.163,9,0,0,6.14,6.52
9/30/2021 13:34,700,15,31,31,0.989,0.156,3,0,0,6.14,6.52
9/30/2021 13:49,700,15,33,31,0.95,0.163,87,0,0,6.15,6.67
9/30/2021 14:04,700,15,31,31,0.981,0.156,90,45,29,6.15,6.7
9/30/2021 14:19,700,15,45,41,0.893,0.224,1080,396,398,6.19,6.7
9/30/2021 14:34,700,15,48,47,0.975,0.242,884,326,284,6.31,6.7
9/30/2021 14:49,700,15,42,41,0.973,0.212,35,0,0,6.32,6.7
9/30/2021 15:04,700,15,36,33,0.91,0.177,54,0,2,6.32,6.7
9/30/2021 15:19,700,15,31,28,0.904,0.152,5,0,0,6.32,6.7
9/30/2021 15:34,700,15,29,26,0.908,0.141,0,0,0,6.32,6.7
9/30/2021 15:49,700,15,31,26,0.845,0.151,61,2,2,6.32,6.7
9/30/2021 16:04,700,15,39,34,0.888,0.191,670,90,133,6.39,6.7
9/30/2021 16:19,700,15,45,45,1.004,0.227,1384,399,476,6.66,6.7
9/30/2021 16:34,700,15,50,47,0.955,0.249,1204,615,275,6.85,6.76
9/30/2021 16:49,700,15,49,48,0.97,0.246,22,0,4,6.86,6.76
9/30/2021 17:04,700,15,32,32,1.002,0.161,0,0,0,6.86,6.76
9/30/2021 17:19,700,15,31,32,1.029,0.156,3,0,0,6.86,6.76
9/30/2021 17:34,700,15,31,31,0.997,0.156,0,0,0,6.86,6.76
9/30/2021 17:49,700,15,31,30,0.958,0.155,18,0,0,6.86,6.77
9/30/2021 18:04,700,15,43,40,0.95,0.213,639,263,249,6.86,6.77
9/30/2021 18:19,700,15,45,45,0.997,0.227,1369,519,468,7.12,6.77
9/30/2021 18:34,700,15,43,40,0.922,0.213,130,0,22,7.13,7.25
9/30/2021 18:49,700,15,35,33,0.937,0.175,21,0,7,7.13,7.25
9/30/2021 19:04,700,15,34,31,0.908,0.17,30,0,12,7.13,7.25
9/30/2021 19:19,700,15,36,34,0.943,0.177,184,40,47,7.13,7.51
9/30/2021 19:34,700,15,50,49,0.974,0.252,799,360,219,7.3,8.08
9/30/2021 19:49,700,15,45,44,0.993,0.225,58,0,2,7.31,8.16
9/30/2021 20:04,700,15,46,42,0.908,0.228,603,226,159,7.34,8.16
9/30/2021 20:19,700,15,50,47,0.936,0.248,821,318,214,7.48,8.16
9/30/2021 20:34,700,15,51,49,0.969,0.254,1073,391,284,7.56,8.16
9/30/2021 20:49,700,15,49,47,0.955,0.247,1463,661,403,7.75,8.16
9/30/2021 21:04,700,15,45,41,0.908,0.224,69,5,5,7.75,8.16
9/30/2021 21:19,700,15,45,44,0.982,0.227,439,153,98,7.83,8.24
9/30/2021 21:34,700,15,47,46,0.98,0.237,1441,606,369,7.95,8.24
9/30/2021 21:49,700,15,52,49,0.941,0.258,1036,420,301,8.1,9.09
9/30/2021 22:04,700,15,49,46,0.95,0.242,838,277,251,8.15,9.09
9/30/2021 22:19,700,15,47,45,0.96,0.234,685,208,202,8.32,9.09
9/30/2021 22:34,700,15,52,51,0.978,0.261,2775,1120,962,8.5,9.62
9/30/2021 22:49,700,15,53,54,1.016,0.27,2127,882,725,8.62,9.62
9/30/2021 23:04,700,15,52,50,0.964,0.261,1546,617,529,8.75,9.62
9/30/2021 23:19,700,15,52,51,0.987,0.262,756,263,244,8.83,9.62
9/30/2021 23:34,700,15,55,53,0.95,0.276,1905,834,606,9.04,9.74
9/30/2021 23:49,700,15,50,46,0.921,0.248,1979,796,647,9.13,9.74
10/1/2021 0:04,700,15,53,49,0.927,0.262,2964,1363,920,9.21,9.74
10/1/2021 0:19,700,15,51,48,0.927,0.255,1783,716,587,9.33,9.78
10/1/2021 0:34,700,15,52,50,0.95,0.261,2498,1009,844,9.41,9.78
10/1/2021 0:49,700,15,49,47,0.96,0.244,1165,380,517,9.41,9.78
10/1/2021 1:04,700,15,38,35,0.913,0.19,8,0,1,9.41,9.78
10/1/2021 1:19,700,15,36,31,0.87,0.176,11,0,2,9.41,9.78
10/1/2021 1:34,700,15,31,29,0.943,0.153,11,0,0,9.41,9.78
10/1/2021 1:49,700,15,36,31,0.844,0.178,39,4,18,9.41,9.78
10/1/2021 2:04,700,15,43,38,0.878,0.212,2214,975,646,9.49,9.78
10/1/2021 2:19,700,15,47,44,0.945,0.234,1145,410,479,9.7,9.78
10/1/2021 2:34,700,15,43,40,0.922,0.214,185,24,16,9.8,9.78
10/1/2021 2:49,700,15,38,35,0.919,0.191,6,1,0,9.8,9.78
10/1/2021 3:04,700,15,31,29,0.935,0.154,133,4,0,9.8,9.78
10/1/2021 3:19,700,15,33,30,0.899,0.162,110,2,2,9.8,9.78
10/1/2021 3:34,700,15,31,28,0.889,0.152,38,28,0,9.81,9.78
10/1/2021 3:49,700,15,32,27,0.845,0.155,144,3,0,9.81,9.78
10/1/2021 4:04,700,15,33,28,0.849,0.162,257,4,0,9.81,9.78
10/1/2021 4:19,700,15,39,33,0.864,0.189,318,121,65,9.81,9.78
10/1/2021 4:34,700,15,43,38,0.878,0.211,1465,747,352,10.02,9.78
10/1/2021 4:49,700,15,50,44,0.893,0.244,571,223,116,10.15,10.03
10/1/2021 5:04,700,15,48,43,0.915,0.235,687,312,130,10.31,10.22
10/1/2021 5:19,700,15,46,43,0.925,0.23,126,26,33,10.38,10.22
10/1/2021 5:34,700,15,51,48,0.931,0.254,612,290,73,10.38,10.47
10/1/2021 5:49,700,15,45,43,0.961,0.226,1741,834,402,10.5,10.54
10/1/2021 6:04,700,15,63,60,0.954,0.315,2800,1282,793,10.61,10.86
10/1/2021 6:19,700,15,46,42,0.913,0.226,1241,715,203,10.72,10.97
10/1/2021 6:34,700,15,43,39,0.896,0.214,42,3,6,10.73,10.97
10/1/2021 6:49,700,15,39,34,0.882,0.19,1,0,0,10.74,10.97
10/1/2021 7:04,700,15,30,26,0.871,0.145,1,0,0,10.74,10.97
10/1/2021 7:19,700,15,31,28,0.889,0.153,15,3,0,10.74,10.97
10/1/2021 7:34,700,15,32,29,0.927,0.157,6,2,0,10.74,10.97
10/1/2021 7:49,700,15,32,27,0.86,0.156,5,0,0,10.74,10.97
10/1/2021 8:04,700,15,30,26,0.848,0.149,37,3,0,10.74,10.97
10/1/2021 8:19,700,15,52,44,0.847,0.256,2066,860,655,10.83,10.99
10/1/2021 8:34,700,15,45,43,0.95,0.224,1747,665,590,11.06,11.01
10/1/2021 8:49,700,15,46,44,0.95,0.231,1601,479,588,11.14,11.01
10/1/2021 9:04,700,15,46,42,0.908,0.226,359,132,167,11.14,11.08
10/1/2021 9:19,700,15,31,28,0.889,0.155,0,0,0,11.15,11.08
10/1/2021 9:34,700,15,32,27,0.837,0.154,11,0,9,11.15,11.08
10/1/2021 9:49,700,15,31,26,0.815,0.152,25,0,23,11.15,11.08
10/1/2021 10:04,700,15,32,25,0.787,0.154,0,0,0,11.15,11.08
10/1/2021 10:19,700,15,32,27,0.83,0.155,0,0,0,11.15,11.08
10/1/2021 10:34,700,15,46,38,0.826,0.226,1759,451,1089,11.15,11.14
10/1/2021 10:49,700,15,43,35,0.813,0.208,490,79,322,11.15,11.14
10/1/2021 11:04,700,15,32,26,0.815,0.155,24,0,21,11.16,11.14
10/1/2021 11:19,700,15,32,25,0.779,0.156,411,0,388,11.16,11.14
10/1/2021 11:34,700,15,29,22,0.763,0.141,362,0,335,11.16,11.14
10/1/2021 11:49,700,15,44,34,0.781,0.211,1818,692,779,11.16,11.14
10/1/2021 12:04,700,15,50,40,0.801,0.241,1141,340,521,11.27,11.14
10/1/2021 12:19,700,15,40,34,0.844,0.196,148,2,65,11.27,11.14
10/1/2021 12:34,700,15,32,26,0.837,0.154,2,1,0,11.27,11.14
10/1/2021 12:49,700,15,32,27,0.837,0.156,10,0,6,11.27,11.14
10/1/2021 13:04,700,15,29,24,0.826,0.142,94,0,90,11.27,11.14
10/1/2021 13:19,700,15,31,26,0.816,0.152,38,2,30,11.27,11.14
10/1/2021 13:34,700,15,32,26,0.794,0.155,255,1,225,11.27,11.14
10/1/2021 13:49,700,15,35,29,0.82,0.17,732,118,508,11.27,11.14
10/1/2021 14:04,700,15,33,28,0.835,0.161,0,0,0,11.28,11.14
10/1/2021 14:19,700,15,32,26,0.794,0.156,0,0,0,11.28,11.14
10/1/2021 14:34,700,15,31,26,0.837,0.153,4,0,4,11.28,11.14
10/1/2021 14:49,700,15,31,25,0.801,0.152,8,1,0,11.28,11.14
10/1/2021 15:04,700,15,32,27,0.837,0.155,118,2,99,11.28,11.14
10/1/2021 15:19,700,15,27,23,0.863,0.131,4,0,3,11.28,11.14
10/1/2021 15:34,700,15,28,23,0.829,0.134,0,0,0,11.28,11.14
10/1/2021 15:49,700,15,31,24,0.779,0.149,0,0,0,11.28,11.14
10/1/2021 16:04,700,15,32,25,0.772,0.154,5,0,0,11.28,11.14
10/1/2021 16:19,700,15,43,33,0.77,0.206,1792,581,827,11.41,11.14
10/1/2021 16:34,700,15,51,49,0.96,0.254,573,230,90,11.52,11.38
10/1/2021 16:49,700,15,47,43,0.911,0.233,393,134,44,11.61,11.38
10/1/2021 17:04,700,15,41,39,0.939,0.205,617,276,145,11.75,11.38
10/1/2021 17:19,700,15,39,33,0.864,0.189,1,0,1,11.75,11.38
10/1/2021 17:34,700,15,32,26,0.823,0.155,29,1,0,11.75,11.38
10/1/2021 17:49,700,15,32,25,0.794,0.153,318,0,0,11.75,11.38
10/1/2021 18:04,700,15,32,27,0.837,0.155,103,0,0,11.75,11.38
10/1/2021 18:19,700,15,32,26,0.794,0.155,0,0,0,11.75,11.38
10/1/2021 18:34,700,15,41,37,0.904,0.201,864,376,262,11.78,11.38
